"cust","prod","sum"
"Chae","Fish","50905"
"Mia","Ice","73655"
"Sam","Jelly","40555"
"Emily","Ham","78120"
"Chae","Dates","63705"
"Claire","Jelly","53850"
"Emily","Grapes","56810"
"Boo","Grapes","75420"
"Dan","Eggs","64420"
"Wally","Grapes","41595"
"Mia","Jelly","47455"
"Emily","Apple","64260"
"Sam","Dates","46555"
"Boo","Dates","67935"
"Wally","Butter","51735"
"Helen","Dates","49385"
"Boo","Cherry","59185"
"Wally","Dates","52580"
"Wally","Eggs","89575"
"Sam","Ice","69290"
"Dan","Ham","68600"
"Emily","Jelly","34980"
"Dan","Fish","47835"
"Boo","Eggs","66185"
"Boo","Jelly","58560"
"Helen","Butter","25130"
"Claire","Fish","68020"
"Sam","Grapes","47635"
"Dan","Butter","61900"
"Mia","Dates","56130"
"Claire","Butter","67215"
"Wally","Apple","58235"
"Chae","Ice","51545"
"Dan","Ice","55340"
"Helen","Eggs","56230"
"Dan","Cherry","82470"
"Chae","Cherry","54395"
"Dan","Jelly","73095"
"Claire","Dates","49445"
"Chae","Ham","56935"
"Emily","Dates","53400"
"Mia","Butter","49590"
"Sam","Butter","55735"
"Emily","Butter","62865"
"Wally","Fish","50910"
"Claire","Ham","33675"
"Dan","Apple","53660"
"Chae","Eggs","44365"
"Dan","Dates","65005"
"Mia","Eggs","51045"
"Boo","Ice","54905"
"Mia","Cherry","75805"
"Helen","Ice","65285"
"Wally","Ham","81855"
"Mia","Fish","54910"
"Chae","Jelly","56170"
"Sam","Cherry","36370"
"Emily","Ice","71905"
"Sam","Ham","53830"
"Claire","Eggs","44825"
"Chae","Grapes","68455"
"Dan","Grapes","50735"
"Helen","Cherry","68630"
"Wally","Cherry","68125"
"Mia","Grapes","32890"
"Boo","Ham","67805"
"Sam","Apple","78235"
"Helen","Ham","38750"
"Claire","Apple","59240"
"Emily","Eggs","41495"
"Emily","Fish","28895"
"Sam","Eggs","74670"
"Boo","Apple","46065"
"Chae","Butter","49460"
"Sam","Fish","77420"
"Claire","Ice","58900"
"Helen","Fish","57880"
"Mia","Ham","53835"
"Chae","Apple","36400"
"Claire","Grapes","38730"
"Wally","Jelly","32385"
"Wally","Ice","32355"
"Boo","Butter","79530"
"Boo","Fish","52445"
"Emily","Cherry","46345"
"Helen","Grapes","68105"
"Mia","Apple","48920"
"Helen","Apple","55510"
"Helen","Jelly","66010"
"Claire","Cherry","58205"
