"cust","state","sum"
"Claire","NJ","147645"
"Emily","PA","137910"
"Claire","CT","141860"
"Sam","CT","110720"
"Helen","NJ","119255"
"Wally","NJ","132150"
"Wally","PA","120060"
"Wally","CT","134745"
"Sam","PA","147740"
"Wally","NY","113160"
"Emily","CT","96245"
"Claire","PA","128565"
"Helen","CT","141935"
"Boo","NY","147850"
"Chae","PA","156505"
"Dan","NJ","184595"
"Chae","NJ","152650"
"Chae","CT","173365"
"Dan","PA","125790"
"Sam","NY","151450"
"Chae","NY","131790"
"Boo","CT","127575"
"Mia","NJ","139215"
"Mia","CT","133440"
"Claire","NY","172565"
"Emily","NY","139425"
"Dan","CT","124755"
"Sam","NJ","157555"
"Boo","NJ","114730"
"Boo","PA","140690"
"Mia","NY","153830"
"Helen","NY","183705"
"Dan","NY","167320"
"Emily","NJ","128300"
"Helen","PA","100475"
"Mia","PA","114705"
